Nazwa utworu;Artysta;L. Artystow;Rok wydania;Miesiac wydania;Dzien wydania;W ilu playlistach;L. odtworzen;bpm
Pi??man De?;"Semicenk, Do??u ";2;2023;6;2;185;44;98
CORAZ??N VA;Maria Becerra;1;2023;6;22;370;44;98
A Tale By Quincy;The Weeknd;1;2022;1;7;733;42;94
A Tale By Quincy;The Weeknd;1;2022;1;7;733;42;94
Crown;Kendrick Lamar;1;2022;5;13;1493;42;170
Rich - Interlude;Kendrick Lamar;1;2022;5;13;1103;41;104
Novidade na ??;Mc Livinho, DJ Matt D;2;2023;6;23;267;40;130
Enchanted (Taylor s Version);Taylor Swift;1;2023;7;7;148;40;82
Curtains;Ed Sheeran;1;2023;5;5;715;40;176
Hummingbird (Metro Boomin & James Blake);James Blake, Metro Boomin;2;2023;6;2;277;40;81
Novidade na ??;Mc Livinho, DJ Matt D;2;2023;6;23;267;40;130
Enchanted (Taylor s Version);Taylor Swift;1;2023;7;7;148;40;82
Curtains;Ed Sheeran;1;2023;5;5;715;40;176
Hummingbird (Metro Boomin & James Blake);James Blake, Metro Boomin;2;2023;6;2;277;40;81
Back To December (Taylor s Version);Taylor Swift;1;2023;7;7;139;39;142
LAGUNAS;Jasiel Nu??ez, Peso P;2;2023;6;22;58;39;116
Back To December (Taylor s Version);Taylor Swift;1;2023;7;7;139;39;142
LAGUNAS;Jasiel Nu??ez, Peso P;2;2023;6;22;58;39;116
Still With You;Jung Kook;1;2020;6;5;31;38;88
Still With You;Jung Kook;1;2020;6;5;31;38;88
Auntie Diaries;Kendrick Lamar;1;2022;5;13;1545;38;78
Savior - Interlude;Kendrick Lamar;1;2022;5;13;1194;37;118
Mine (Taylor s Version);Taylor Swift;1;2023;7;7;99;37;121
All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert);Future, Lil Uzi Vert, Metro Boomin;3;2023;6;2;259;37;135
Every Angel is Terrifying;The Weeknd;1;2022;1;7;715;37;118
Mine (Taylor s Version);Taylor Swift;1;2023;7;7;99;37;121
All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert);Future, Lil Uzi Vert, Metro Boomin;3;2023;6;2;259;37;135
Every Angel is Terrifying;The Weeknd;1;2022;1;7;715;37;118
Don t ever say love me (feat. RM of BTS);RM, Colde;2;2023;5;4;105;35;145
Don t ever say love me (feat. RM of BTS);RM, Colde;2;2023;5;4;105;35;145
Born With A Beer In My Hand;Morgan Wallen;1;2023;3;3;203;34;148
Born With A Beer In My Hand;Morgan Wallen;1;2023;3;3;203;34;148
Devil Don???;Morgan Wallen;1;2023;3;3;166;33;125
Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse );WizKid, Toian, Metro Boomin, Don Toliver, Beam;5;2023;6;2;197;33;101
Devil Don???;Morgan Wallen;1;2023;3;3;166;33;125
Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse );WizKid, Toian, Metro Boomin, Don Toliver, Beam;5;2023;6;2;197;33;101
Mother I Sober (feat. Beth Gibbons of Portishead);Kendrick Lamar, Beth Gibbons;2;2022;5;13;1890;33;140
Phantom Regret by Jim;The Weeknd;1;2022;1;7;768;32;108
Mi Bello Angel;Natanael Cano;1;2023;6;30;86;32;128
Mi Bello Angel;Natanael Cano;1;2023;6;30;86;32;128
"""What Was I Made For? [From The Motion Picture """"Barbie""""]""";Billie Eilish;1;2023;7;13;873;31;78
"""What Was I Made For? [From The Motion Picture """"Barbie""""]""";Billie Eilish;1;2023;7;13;873;31;78
New Jeans;NewJeans;1;2023;7;7;77;30;134
Better Than Revenge (Taylor s Version);Taylor Swift;1;2023;7;7;86;30;146
New Jeans;NewJeans;1;2023;7;7;77;30;134
Better Than Revenge (Taylor s Version);Taylor Swift;1;2023;7;7;86;30;146
Danger (Spider) (Offset & JID);Offset, JID;2;2023;6;2;214;25;143
Danger (Spider) (Offset & JID);Offset, JID;2;2023;6;2;214;25;143
Rush;Troye Sivan;1;2023;7;13;864;23;126
Rush;Troye Sivan;1;2023;7;13;864;23;126
S91;Karol G;1;2023;7;14;525;16;128
S91;Karol G;1;2023;7;14;525;16;128
Overdrive;Post Malone;1;2023;7;14;410;15;140
Overdrive;Post Malone;1;2023;7;14;410;15;140
Gol Bolinha, Gol Quadrado 2;Mc Pedrinho, DJ 900;2;2023;6;1;293;12;133
QUEMA;Sog, Ryan Castro, Peso Pluma;3;2023;7;13;437;12;97
Gol Bolinha, Gol Quadrado 2;Mc Pedrinho, DJ 900;2;2023;6;1;293;12;133
QUEMA;Sog, Ryan Castro, Peso Pluma;3;2023;7;13;437;12;97
Jhoome Jo Pathaan;Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar;6;2022;12;22;138;1;105
Jhoome Jo Pathaan;Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar;6;2022;12;22;138;1;105
Que Vuelvas;Carin Leon, Grupo Frontera;2;2022;12;9;763;0;162
Que Vuelvas;Carin Leon, Grupo Frontera;2;2022;12;9;763;0;162
Love Grows (Where My Rosemary Goes);Edison Lighthouse;1;1970;1;1;2877;0;110
