Nazwa utworu;Artysta;L. Artystow;Rok wydania;Miesiac wydania;Dzien wydania;W ilu playlistach;L. odtworzen;bpm
Somewhere Only We Know;Keane;1;2004;1;1;20015;1089;172
Somewhere Only We Know;Keane;1;2004;1;1;20015;1089;172
I Ain t Worried;OneRepublic;1;2022;5;13;8431;1086;140
I Ain t Worried;OneRepublic;1;2022;5;13;8431;1086;140
Boy With Luv (feat. Halsey);Halsey, BTS;2;2019;4;12;4260;1066;120
Boy With Luv (feat. Halsey);Halsey, BTS;2;2019;4;12;4260;1066;120
Talking To The Moon;Bruno Mars;1;2010;10;4;7109;1063;146
The Business;Ti??;1;2020;1;1;14311;1062;120
My Universe;Coldplay, BTS;2;2021;9;24;6127;1062;105
My Universe;Coldplay, BTS;2;2021;9;24;6127;1062;105
Happier Than Ever;Billie Eilish;1;2021;7;30;8476;1057;65
Happier Than Ever;Billie Eilish;1;2021;7;30;8476;1057;65
See You Again;Tyler, The Creator, Kali Uchis;3;2017;7;21;13387;1047;79
Efecto;Bad Bunny;1;2022;5;6;4004;1047;98
See You Again;Tyler, The Creator, Kali Uchis;3;2017;7;21;13387;1047;79
Efecto;Bad Bunny;1;2022;5;6;4004;1047;98
Need To Know;Doja Cat;1;2021;6;11;6672;1043;130
Need To Know;Doja Cat;1;2021;6;11;6672;1043;130
Running Up That Hill (A Deal With God);Kate Bush;1;1985;9;16;21811;1025;108
Running Up That Hill (A Deal With God);Kate Bush;1;1985;9;16;21811;1025;108
Falling;Harry Styles;1;2019;12;13;7556;1023;110
Revenge;XXXTENTACION;1;2017;8;25;3600;1022;140
Revenge;XXXTENTACION;1;2017;8;25;3600;1022;140
???abcdefu;Gayle;1;2021;8;13;7215;1008;122
???abcdefu;Gayle;1;2021;8;13;7215;1008;122
Anti-Hero;Taylor Swift;1;2022;10;21;9082;1000;97
Anti-Hero;Taylor Swift;1;2022;10;21;9082;1000;97
Arcade;Duncan Laurence;1;2019;3;7;6646;991;72
Glimpse of Us;Joji;1;2022;6;10;6330;989;170
Glimpse of Us;Joji;1;2022;6;10;6330;989;170
Summertime Sadness;Lana Del Rey;1;2011;1;1;20333;984;112
Summertime Sadness;Lana Del Rey;1;2011;1;1;20333;984;112
Where Are You Now;Lost Frequencies, Calum Scott;2;2021;7;30;10565;973;121
Where Are You Now;Lost Frequencies, Calum Scott;2;2021;7;30;10565;973;121
I Love You So;The Walters;1;2014;11;28;7536;972;76
I Love You So;The Walters;1;2014;11;28;7536;972;76
No Lie;Sean Paul, Dua Lipa;2;2016;11;18;7370;957;102
HEARTBREAK ANNIVERSARY;Giveon;1;2020;2;21;5398;952;129
Sure Thing;Miguel;1;2010;5;25;13801;951;81
Sure Thing;Miguel;1;2010;5;25;13801;951;81
Unstoppable;Sia;1;2016;1;21;7681;940;174
Unstoppable;Sia;1;2016;1;21;7681;940;174
Get Lucky - Radio Edit;Pharrell Williams, Nile Rodgers, Daft Punk;3;2013;1;1;52898;934;116
Under The Influence;Chris Brown;1;2019;10;4;3859;930;117
Under The Influence;Chris Brown;1;2019;10;4;3859;930;117
Wait a Minute!;Willow;1;2015;1;11;11985;924;101
THATS WHAT I WANT;Lil Nas X;1;2021;9;17;7963;921;88
THATS WHAT I WANT;Lil Nas X;1;2021;9;17;7963;921;88
Dark Red;Steve Lacy;1;2017;2;20;10431;920;172
Dark Red;Steve Lacy;1;2017;2;20;10431;920;172
Stan;Eminem, Dido;2;1999;11;21;17115;919;80
Moscow Mule;Bad Bunny;1;2022;5;6;4572;909;100
Moscow Mule;Bad Bunny;1;2022;5;6;4572;909;100
Calm Down (with Selena Gomez);R??ma, Selena G;2;2022;3;25;7112;899;107
Calm Down (with Selena Gomez);R??ma, Selena G;2;2022;3;25;7112;899;107
Infinity;Jaymes Young;1;2017;6;23;4375;888;122
Infinity;Jaymes Young;1;2017;6;23;4375;888;122
Heartless;Kanye West;1;2008;1;1;17504;888;88
PROVENZA;Karol G;1;2022;4;21;6587;885;111
PROVENZA;Karol G;1;2022;4;21;6587;885;111
Lover;Taylor Swift;1;2012;1;1;8448;883;206
Lover;Taylor Swift;1;2012;1;1;8448;883;206
MIDDLE OF THE NIGHT;Elley Duh?;1;2020;1;10;4057;872;186
MIDDLE OF THE NIGHT;Elley Duh?;1;2020;1;10;4057;872;186
Streets;Doja Cat;1;2019;11;7;5728;866;90
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine;4;2021;1;15;12043;864;123
MONEY;Lisa;1;2021;9;10;2566;864;140
MONEY;Lisa;1;2021;9;10;2566;864;140
I WANNA BE YOUR SLAVE;M??ne;1;2021;3;19;4873;851;133
happier;Olivia Rodrigo;1;2021;5;21;3069;851;169
"Creepin ";The Weeknd, 21 Savage, Metro Boomin;3;2022;12;2;6036;844;98
"Creepin ";The Weeknd, 21 Savage, Metro Boomin;3;2022;12;2;6036;844;98
